Button #,Property,Site,Cat #,Diameter measurement 1,Diameter measurement 2,Punching flaw,Lathing flaw,Pressing flaw,Stamping Flaw,Shank Attachment Flaw,Plating Flaw,,Notes
238,Poplar Forest,Quarter Site,1188A/2,12.7,12.6,,,,,,,n,thin
239,Poplar Forest,Quarter Site,1189A/4,15.5,15.4,,minor (incomplete lathing),,,,,y,Backstamp 'GILT' and laurel leaves
240,Poplar Forest,Quarter Site,1185A/2,13.5,13.4,,,,,minor (metal daub unsmoothed),,y,Backstamped with laurel design
241,Poplar Forest,Quarter Site,1185A/3,11.4,11.3,,moderate (incomplete lathing),,moderate (backstamp offcenter),,,y,"Backstamp 'PLATE', thin"
242,Poplar Forest,Quarter Site,1254A/2,20.1,20,,,,,,,y,Backstamp 'PLATED'
243,Poplar Forest,Quarter Site,1254A/1,18.5,18.6,,,,minor (backstamp offcenter),,,y,"Backstamp 'BEST' and laurel leaves, thin"
244,Poplar Forest,Quarter Site,1212A/4,18,19.3,,,,,,,y,Backstamp 'GILT' and stars
245,Poplar Forest,Quarter Site,1206A/3,13.5,13.5,,,,minor (backstamp offcenter),,,y,Backstamped with laurel design
246,Poplar Forest,Quarter Site,1212A/3,13.1,13.2,,,,,,,y,Backstamped with 'PLATED' and laurel design
247,Poplar Forest,Quarter Site,1253P,11.6,11.6,,minor (uneven lathing),,,,,y,Backstamp 'GILT'
248,Poplar Forest,Quarter Site,1295A/4,11.5,11.6,,moderate (incomplete lathing),,minor (backstamp too light),,,y,Backstamp 'PLATED'
249,Poplar Forest,Quarter Site,1254A/4,10.8,10.7,,minor (incomplete lathing),,,,,n,
250,Poplar Forest,Quarter Site,1206B/1,13.4,13.8,,,,,,,y,Backstamped with a laurel design
251,Poplar Forest,Quarter Site,1206B/3,13.5,13.5,,minor (uneven lathing),,,,,y,Backstamped with a laurel design
252,Poplar Forest,Quarter Site,1206A/1,20.4,20.4,,,,,,,n,
253,Poplar Forest,Quarter Site,1212A/4,21.6,21.6,,,,minor (backstamp offcenter),,,y,Backstamp 'LONDON' and stars
254,Poplar Forest,Quarter Site,1206A/2,19.1,19.2,,,,,,,y,"Backstamp 'BEST"" and laurel design"
255,Poplar Forest,Quarter Site,1298A/2,20,19.7,,,,,,,y,Backstamped with a laurel design and crown
256,Poplar Forest,Quarter Site,1207B/2,20.2,20.3,,minor (uneven lathing),,,,,y,Backstamp 'GILT' and stars
257,Poplar Forest,Quarter Site,1295A/2,19.2,19.3,,,,,,,y,Backstamped with a laurel design
258,Poplar Forest,Quarter Site,1255A/2,15.2,15.3,,minor (uneven lathing),,,,,y,Backstamp 'PLATED' and eagle
259,Poplar Forest,Quarter Site,1299A/3,23.2,23,,,,,,,y,Backstamped with a laurel design
260,Poplar Forest,Quarter Site,1207B/3,23.5,23.4,,,,,,,n,
261,Poplar Forest,Quarter Site,1295A/1,14.9,14.8,,Moderate (incomplete lathing),,,minor (shank uncentered),,n,thin
262,Poplar Forest,Quarter Site,1207B/4,20.6,20.6,,,,minor (backstamp offcenter),,,y,Backstamp '___VERY'
263,Liberty Hall,Site 9,3542/32,20.4,20.3,,,,,minor (shank offcenter),,n,face stamp star made of dots
264,Liberty Hall,Site 9,3550/35,18.2,17.8,,,,,,,y,"Backstamp ""RICH GOLD COLOR' and floral design"
265,Liberty Hall,Site 9,3511/43,22.8,22.7,,,,,minor (shank offcenter),,y,Backstam 'BEST' and floral pattern
266,Liberty Hall,Site 9,3516/31,21.6,21.7,,,,,,,y,Backstamp 'PLATED' inside one circle with floral design and 'BEST' within an inner circle with crown design
267,Liberty Hall,Site 9,3550/172,16.7,16.8,,,,,minor (shank offcenter),,y,"pressed, Backstamp 'DOUBLE GILT' with floral design"
268,Liberty Hall,Site 9,3526/188,18.8,18.7,,minor (uneven lathing),,,,,n,thick lip around rim on back
269,Liberty Hall,Site 9,3542/15,17.6,17.7,,,,,,,y,"Convex, Backstamp 'DOUBLE GILT'"
270,Liberty Hall,Site 9,3550/268,14.7,14.7,,,,,,,y,Backstamp 'PLATED' 
271,Liberty Hall,Site 9,3504/483,22.2,22.1,,,,,,,y,Backstamp 'JAS' and 'P&G' and 'P_____'
272,Liberty Hall,Site 9,3562/147,18,18.1,,,,,moderate (shank offcenter),,y,Backstamp 'GILT' and stars
273,Liberty Hall,Site 9,3539/118,20.3,20.4,,,,minor (backstamp offcenter),,,y,Backstamp 'PLATED'
274,Liberty Hall,Site 9,3561/46,14.5,14.6,,,,moderate (backstamp letters misaligned),,,y,Backstamp 'GILT'
275,Liberty Hall,Site 9,3509/53,13.3,13.3,,minor (incomplete lathing),,,,,y,"thin, Backstamp 'PLATED'"
276,Liberty Hall,Site 9,3520/175,14.6,14.6,,,,,,,y,Backstamp 'WALLIS' and 'GARRANTED'
277,Liberty Hall,Site 9,3504/212,12.2,12.3,,,,,,,y,"thin, Backstamp 'PLATED' and floral design"
278,Liberty Hall,Site 9,3548/10,13.5,13.5,,,,,,,y,"thin, Backstamp 'PLATED'"
279,Liberty Hall,Site 9,3539/103,14.3,14.3,,,,,,,y,Backstamp 'PLATED' and floral design
280,Liberty Hall,Site 9,3547/94,20.4,20.5,,minor (incomplete lathing),,,,,y,Backstamp 'PLATED'
281,Liberty Hall,Site 9,3521/152,19.3,19.5,,,,,,,y,Backstamp floral design
282,Liberty Hall,Site 9,3501/62,21.2,21.6,,,,,minor (shank offcenter),,y,"Backstamp laurel design, face stamp textile pattern"
283,Liberty Hall,Site 9,3516/23,14.5,14.5,,,,,,,y,Backstamp 'BEST' and 'LONDON' 
284,Liberty Hall,Site 9,3546/137,20.8,21,,,,,minor (shank offcenter),,y,Backstamp 'PLATED'
285,Liberty Hall,Site 9,3550/291,25.2,25.1,,,,,,,y,Backstamp 'GILT'
286,Liberty Hall,Site 9,3550/280,25.8,24.9,,,,,,,y,Backstamp 'DOUBLE GILT' and bird design
287,Liberty Hall,Site 9,3556/14,20,20.1,,,,,,,n,thick 
288,Liberty Hall,Site 9,3520/109,12.7,12.7,,,,,,,y,Backstamp 'SCOVILLS' and 'TREBLE GILT'
289,Liberty Hall,Site 9,3567/106,19.6,19.7,,,,,,,y,Backstamp 'RICH GILT' and 'STANDARD' in smaller letters
290,Liberty Hall,Site 9,3562/86,18.7,18.6,,minor (incomplete lathing),,,,,y,Backstamp '_COVIL_' and 'EXTRA RICH'
291,Liberty Hall,Site 9,3556/58,13.5,13.5,,minor (incomplete lathing),,,,,y,Backstamp '_NO__'
292,Liberty Hall,Site 9,3562/79,13.5,13.6,,,,,,,y,Backstamp indeciferable due to ornate letters
293,Liberty Hall,Site 9,3504/243,19.6,19.6,,,,,,,y,Backstamp 'TREBEL GOLD' in ornate letters and 'COLOUR' in standard letters
294,Liberty Hall,Site 9,3546/38,17.3,17.2,,,,,,,y,Backstamp 'ORANGE COLOUR' and '____T' with floral pattern
295,Liberty Hall,Site 9,3509/470,18.4,18.4,,,,,,,y,Backstamp 'FINE GOLD' and '_____ED' in smaller letters
296,Liberty Hall,Site 9,3504/370,19.1,19.1,,,,,,,y,Backstamp 'IMPERIAL' and ORANGE'
297,Liberty Hall,Site 9,3545/123,13.4,13.4,,minor (uneven lathing),,,,,n,thin
298,Liberty Hall,Site 9,3549/43,21.4,21.4,,minor (incomplete lathing),,,,,n,
299,Liberty Hall,Site 9,3545/107,12.3,12.2,,,,,,,n,"thin, face stamped with a pattern of small circles around the rim"
300,Liberty Hall,Site 9,3509/141,11.5,11.6,,major (incomplete lathing),,,,,n,"thin, might not be a button"
301,Liberty Hall,Site 9,3535/97,21.3,21.4,,moderate (incomplete lathing),,,,,n,
302,Liberty Hall,Site 9,3518/2,20,20.4,,,minor (uneven pressing),,,,n,concave button
303,Liberty Hall,Site 9,3550/79,13.8,13.7,,,,,minor (shank offcenter),,n,
304,Liberty Hall,Site 9,3502/26,23.8,23.8,,,,,,,n,
305,Liberty Hall,Site 9,3549/51,13.1,13.1,,,,,,,n,thin
306,Liberty Hall,Site 9,3550/41,16.9,16.9,,,,,,,n,"face stampped, face gouged at semi-regular intervals around rim, probably post-manufacture"
307,Liberty Hall,Site 9,3532/27,13.1,12.9,,,,,,,n,
308,Liberty Hall,Site 9,3521/169,14.5,14.6,,minor (uneven lathing),,,,,n,
309,Liberty Hall,Site 9,3550/72,14,14.1,,,,,,,n,slightly concave
310,Liberty Hall,Site 9,3521/192,20.2,20.2,,minor (uneven lathing),,,,,n,
311,Liberty Hall,Site 9,3510/129,17.5,17.6,,moderate (incomplete lathing),,,,,n,very pitted
312,Liberty Hall,Site 9,3517/57,13.4,13.4,,,,,,,n,
313,Liberty Hall,Site 9,3535/6,13.2,13.2,,,,,,,n,face stamped 
314,Liberty Hall,Site 1 Northwest,1310/277,23,23.1,,,,,,,y,"Backstamp 'GILT', face stamped with vertical lines and branch"
315,Liberty Hall,Site 1 Northwest,1307/377,19.8,19.8,,,,,minor (shank offcenter),,y,Backstamp 'PLATED'
316,Liberty Hall,Site 1 Northwest,1302/127,23.3,23.3,,,,,,,n,face stamped with floral design
317,Liberty Hall,Site 1 Northwest,1318/124,18.8,18.8,,,,,,,y,"Backstamp ""GILT'"
318,Liberty Hall,Site 1 Northwest,1319/125,21.3,21.3,,,,,,,y,Backstamp 'GILT'
319,Liberty Hall,Site 1 Northwest,1310/148,15.7,15.7,,,,,,,y,Backstamp 'TREBLE GILT' and 'STAND' and 'COL'
320,Liberty Hall,Site 1 Northwest,1311/311,25.1,25,,,,,,,y,Backstamp 'DOUBLE GILT' and crown design
321,Liberty Hall,Site 1 Northwest,1305/155,19.5,19.5,,,,,,,y,"very concave, Backstamp 'BEST'"
322,Liberty Hall,Site 1 Northwest,1301/24,20.2,20.2,,,,,,,y,Backstamp 'GILT'
323,Liberty Hall,Site 1 Northwest,1319/106,13.6,13.6,,,,,,,y,"thin, Backstamp 'DOUBLE' and ""GILT'"
324,Liberty Hall,Site 1 Northwest,1310/268,20.3,20.6,,,,,,,y,"concave, Backstamp 'GILT' and floral pattern"
325,Liberty Hall,Site 1 Northwest,1301/216,20.7,19.2,,,,,,,y,"very concave, Backstamp 'GILT' and star pattern"
326,Liberty Hall,Site 1 Northwest,1310/278,20.9,20.9,,,,,,,y,Backstamp 'TREBLE GILT' and bird design
327,Liberty Hall,Site 1 Northwest,1322/130,14.6,14.6,,,,,,,y,Backstamp 'DOUBLE GILT' and crown design
328,Liberty Hall,Site 1 Northwest,1307/427A,20.2,20,,,,,,,y,"slightly concave, backstamp rings"
329,Liberty Hall,Site 1 Northwest,1304/221,13.6,13.6,,minor (uneven lathing),,,,,y,Backstamp 'GILT' and floral pattern
330,Liberty Hall,Site 1 Northwest,1311/103,19.8,19.4,,,,,,,y,Backstamp 'GILT' and dimond pattern
331,Liberty Hall,Site 1 Northwest,1302/133,19.3,19.1,,,,,,,y,Backstamp 'TREBEL GILT' and federal eagle design
332,Liberty Hall,Site 1 Northwest,1302/119,18.7,18.8,,,,,,,n,thick lip around rim on back
333,Liberty Hall,Site 1 Northwest,1301/43,19.7,18.8,,minor (uneven lathing),,,,,y,Backstamp 'GILT' and stars
334,Liberty Hall,Site 1 Northwest,1320/58,19.3,19.1,,,,,,,y,Backstamp laurel and stars design
335,Liberty Hall,Site 1 Northwest,1321/12,13.5,12.5,,,,,,,y,"Backstamp ""GILT' and floral design"
336,Liberty Hall,Site 1 Northwest,1307/374,18.2,18.2,,,,,,,y,"very pitted, backstamp indeciferable"
337,Liberty Hall,Site 1 Northwest,1321/57,15,14.8,,,,,minor (shank offcenter),,y,Backstamp floral design
338,Liberty Hall,Site 1 Northwest,1310/199,20.4,19.1,,,,,,,y,Backstamp 'GILT' and stars
339,Liberty Hall,Site 1 Northwest,1311/388,19.8,19.8,,,,,,,y,"concave, Backstamp floral design"
340,Liberty Hall,Site 1 Northwest,3125/21,18.3,18.4,,,,,,,y,Backstamp laurel design 
341,Liberty Hall,Site 1 Northwest,1321/59,14.3,14.4,,,,,,,y,Backstamp 'PLATED' and floral design
342,Liberty Hall,Site 1 Northwest,1309/15,17.8,17.7,,,,,,,y,"concave, Backstamp 'GILT' and floral pattern"
343,Liberty Hall,Site 1 Northwest,1322/118,19.8,19.8,moderate (divit in button side),,,,,,y,Backstamp 'PLATED' and floral design
344,Liberty Hall,Site 1 Northwest,1310/138,21.6,21.6,,,,,,,y,Backstamp 'PLATED'
345,Liberty Hall,Site 1 Northwest,1306/22,12.6,12.6,,,,,,,y,Backstamp 'PLATED' and floral design
346,Liberty Hall,Site 1 Northwest,1310/284,18.8,19,,,,,minor (shank offcenter),,y,Backstamp 'PLATED' and floral design
347,Liberty Hall,Site 1 Northwest,1310/276,19.8,na,,,,,,,y,"Backstamp 'PLATED', face stamped with pattern of circles, two edges heavily worn (excavation damage?)"
348,Liberty Hall,Site 1 Northwest,1307/262,19.2,19,,,,,,,n,
349,Liberty Hall,Site 1 Northwest,1310/212,20.3,20.3,,,,,,,y,Backstamp 'GOOD GILT' and '___LLOVER' with radiating lines
350,Liberty Hall,Site 1 Northwest,1307/427b,13.6,13.7,,,,,,,y,"Backstamp ""BEST ST_ _ _' in ornate letters and 'STAND' in standard letters."
351,Liberty Hall,Site 1 Northwest,1310/237,21.5,21.6,,,,,,,y,Backstamp 'STANDARD' and 'TREBLE GILT'
352,Liberty Hall,Site 1 Northwest,1310/123,20.7,20.5,,,,,,,y,Backstamp 'GILT' and floral design
353,Liberty Hall,Site 1 Northwest,1307/90,21.2,21.1,,,,minor (backstamp slightly offcenter),,,y,Backstamp 'GILT' and '_____'
354,Liberty Hall,Site 1 Northwest,1310/292,22.2,22.2,,,,,,,y,"Backstamp 'GIL_' in flowey letters, slightly concave"
355,Liberty Hall,Site 1 Northwest,1304/143,21.1,21.3,,,,,,,y,Backstamp 'GILT'
356,Liberty Hall,Site 1 Northwest,1310/290,20.5,20.6,,,,minor (backstamp slightly offcenter),,,y,Backstamp 'GILT'
357,Liberty Hall,Site 1 Northwest,1310/357,19.3,19.2,,,,,,,n,
358,Liberty Hall,Site 1 Northwest,1318/160,16.7,16.5,,,,minor (face stamp protrudes into back),,,n,"Face stamped with floral pattern, edges of button wavey rather than circular"
359,Liberty Hall,Site 1 Northwest,1311/458,29.9,29.9,,,,minor (face stamp protrudes into back),,,n,face stamped with repeting pattern of lines and flowers
360,Liberty Hall,Site 1 Northwest,1304/83,21.3,21.3,,,,,,,n,concave
361,Liberty Hall,Site 1 Northwest,1322/164,11.3,11.4,,,,,minor (shank offcenter),,n,concave
362,Liberty Hall,Site 1 Northwest,1307/569,17.4,17.6,,,,,,,n,face stamped with semi-circular pattern
363,Monticello,Building S,830-E4,19.4,19.3,,minor (lathing incomplete),,,,,n,
364,Monticello,Building S,832-C1,14.6,14.6,,,minor (mis-pressed),,,,n,concave
365,Monticello,Building S,830-E2,12.8,12.8,,,,,minor (shank offcenter),,y,backstamp illegible
366,Monticello,Building S,831-E1,17.9,17.9,,,,,,,n,
367,Monticello,Building S,830-D,19.9,19.9,,,,,minor (shank offcenter),,n,
368,Monticello,Building S,830-D,19.7,19.7,,minor (lathing incomplete),,,,,n,
369,Monticello,Building S,799-A3,23.5,23.3,,,,moderate (backstamp offcenter),,,y,backstamp ring around stamp
370,Monticello,Building S,798-E1,15.2,15.1,,,,moderate (backstamp offcenter),,,y,backstamp laurel pattern
371,Monticello,Building S,797-B,18.8,18.6,,moderate (uneven lathing),,,,,y,backstamp 'STANDARD' something illegible in ornate letters
372,Monticello,Building S,787-B,12.9,12.9,,,,,,,n,
373,Monticello,Building S,797-B,13.2,13.1,,,,,minor (shank offcenter),,n,
374,Monticello,Building S,757-B4,14.7,14.3,major (button misshapen),,,,minor (shank offcenter),,n,thin
375,Monticello,Building S,828-D4,13.4,13.4,,,,,,,n,
376,Monticello,Building S,830-C4,11.4,11.4,,,,,,,n,
377,Monticello,Building S,757-D3,13.5,13.7,,,,,minor (shank offcenter),,n,
378,Monticello,Building S,758-A4,18.7,18.4,,moderate (uneven lathing),,,minor (shank offcenter),,n,
379,Monticello,Building S,962-D2,13.7,13.8,,,,,,,n,
380,Monticello,Building S,962-B,12.9,12.8,,moderate (uneven lathing),,,,,n,thin
381,Monticello,Building S,799-E1,13.4,13.1,,,,,,,n,
382,Monticello,Building S,831-A,13.3,13.4,,moderate (lathing incomplete),,,minor (shank offcenter),,y,backstamp 'LONDON/GILT'
383,Monticello,Building S,916-D,13.8,13.8,,minor (lathing incomplete),,,,,y,backstamped with laurel pattern
384,Monticello,Building S,830-E3,13.9,14,,,,,,,y,backstamp 'BEST' and laurel pattern
385,Monticello,Building S,830-E3,14.3,14.5,,,,,minor (shank offcenter),,n,
386,Monticello,Building S,797-E1,12.9,12.8,,,,,minor (shank offcenter),,n,
387,Monticello,Building S,968-C2,13.8,13.7,,,,,,,n,
388,Monticello,Building S,968-C2,24,23.8,,,,,,,n,
389,Monticello,Building S,756-F1,14,13.9,,minor (lathing incomplete),,,,,y,"thin, backstamp illegible"
390,Monticello,Building S,986-D2,14.8,14.7,,,,,minor (shank offcenter),,y,backstamp laurel pattern
391,Monticello,Building S,987-B2,18.5,18.5,,minor (uneven lathing),,,,,n,"face stamped with intricate, indeciferable pattern "
392,Monticello,Building S,987-C1,17.2,17.2,,,,,,,n,
393,Liberty Hall,Site 9,3505/285,33.5,33.3,,,,,,,n,
394,Montpelier,Dolly's Midden/Northwest Yard,14754.BH,34.1,34.4,,,,,,,n,Floral stamp on face
395,Montpelier,Dolly's Midden/Northwest Yard,15193.AA,33.2,33.3,,,,,,,n,
